基金代码,基金简称,基金类型,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,fetch_date
160716,嘉实基本面50指数(LOF)A,指数型-股票,2.1074,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160717,嘉实H股指数(QDII-LOF),指数型-海外股票,0.7317,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160718,嘉实多利收益债券A,债券型-混合二级,1.0177,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.08,20260901
160719,嘉实黄金,QDII-商品,1.997,08-28,暂停申购,开放赎回,,10.0,5.0,0.08,20260901
160722,嘉实惠泽混合(LOF),混合型-灵活,2.3081,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160723,嘉实原油(QDII-LOF),QDII-商品,2.0289,08-28,暂停申购,开放赎回,,10.0,5.0,0.12,20260901
160724,嘉实沪深300ETF联接C,指数型-股票,1.0996,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.0,20260901
160725,嘉实基本面50指数(LOF)C,指数型-股票,1.4404,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.0,20260901
160726,嘉实瑞享定期混合,混合型-灵活,1.2125,08-31,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,20260901
160727,嘉实创业板两年定期混合,混合型-偏股,2.0071,08-31,暂停申购,暂停赎回,2027-03-22,10.0,100000000000.0,0.15,20260901
160805,长盛同智优势混合(LOF),混合型-灵活,0.7786,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160806,长盛同庆中证800指数(LOF)A,指数型-股票,2.1066,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160807,长盛沪深300指数(LOF)A,指数型-股票,1.8651,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160812,长盛同益成长回报(LOF),混合型-灵活,2.498,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160813,长盛同盛成长优选(LOF),混合型-灵活,1.876,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160910,大成创新成长混合(LOF)A,混合型-灵活,0.945,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160916,大成优选混合(LOF)A,混合型-偏股,4.647,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160918,大成中小盘混合(LOF)A,混合型-偏股,2.6105,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160919,大成产业升级股票(LOF)A,股票型,3.5292,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160921,大成多策略混合(LOF)A,混合型-灵活,1.4234,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160924,大成恒生指数(QDII-LOF)A,指数型-海外股票,1.0132,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160925,大成中华沪深港300指数(LOF)A,指数型-股票,1.317,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160926,大成创业板两年定开混合A,混合型-偏股,1.0945,08-31,暂停申购,暂停赎回,2028-08-28,10.0,100000000000.0,0.15,20260901
161005,富国天惠成长混合(LOF)A,混合型-偏股,3.1025,08-31,限购2万,开放赎回,,10.0,20000.0,0.15,20260901
161010,富国天丰强化债券(LOF)A,债券型-混合一级,1.2053,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.08,20260901
161014,富国汇利回报两年定期开放债券,债券型-混合一级,1.4754,08-31,暂停申购,暂停赎回,2028-04-14,10.0,100000000000.0,0.08,20260901
161015,富国天盈债券(LOF)C,债券型-混合一级,1.3099,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.0,20260901
161017,富国中证500指数增强(LOF)A,指数型-股票,2.588,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
